FID;Object_ID;Latitude;Longitude;Site_Name;Data_Numbe;Codes;Elevation;minD;maxD;No__Temps;Gradient;No__Cond_;Conductivi;No_Heat_Pr;Heat_Prod_;Heat_Flow;No__sites;Year_of_Pu;Reference;Comments;F21;F22;F23;F24;F25;F26;ben;europe
278;5606.000000000000000;0.868300000000000;-86.188299999999998;KN5.10;6203.000000000000000; ;-2638.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;494.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
279;5607.000000000000000;0.855000000000000;-86.185000000000002;KN5.11;6204.000000000000000; ;-2636.000000000000000;0.000000000000000;2.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;331.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
280;5608.000000000000000;0.638300000000000;-86.128299999999996;KN6.1;6205.000000000000000; ;-2768.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;84.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
281;5609.000000000000000;0.636700000000000;-86.123300000000000;KN6.2;6206.000000000000000; ;-2758.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;109.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
282;5610.000000000000000;0.633300000000000;-86.109999999999999;KN6.3;6207.000000000000000; ;-2792.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;126.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
283;5611.000000000000000;0.636700000000000;-86.101699999999994;KN6.4;6208.000000000000000; ;-2760.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;113.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
284;5612.000000000000000;0.631700000000000;-86.093299999999999;KN6.5;6209.000000000000000; ;-2766.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;159.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
285;5613.000000000000000;0.501700000000000;-85.989999999999995;KN7.1;6210.000000000000000; ;-2865.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;218.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
286;5614.000000000000000;0.511700000000000;-85.991699999999994;KN7.2;6211.000000000000000; ;-2863.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;201.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
287;5615.000000000000000;0.520000000000000;-85.995000000000005;KN7.3;6212.000000000000000; ;-2852.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;247.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
288;5616.000000000000000;0.535000000000000;-86.000000000000000;KN7.4;6213.000000000000000; ;-2829.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;251.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
289;5617.000000000000000;0.548300000000000;-86.000000000000000;KN7.5;6214.000000000000000; ;-2786.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;389.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
290;5618.000000000000000;0.553300000000000;-86.003299999999996;KN7.6;6215.000000000000000; ;-2768.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;335.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
291;5619.000000000000000;0.570000000000000;-86.003299999999996;KN7.7;6216.000000000000000; ;-2813.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;184.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
292;5620.000000000000000;0.601700000000000;-86.011700000000005;KN8.1;6217.000000000000000; ;-2754.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;820.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
293;5621.000000000000000;0.606700000000000;-86.011700000000005;KN8.2;6218.000000000000000; ;-2726.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;674.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
294;5622.000000000000000;0.616700000000000;-86.011700000000005;KN8.3;6219.000000000000000; ;-2687.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;850.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
295;5623.000000000000000;0.633300000000000;-86.015000000000001;KN8.4;6220.000000000000000; ;-2715.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;582.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
296;5624.000000000000000;0.640000000000000;-86.016700000000000;KN8.5;6221.000000000000000; ;-2715.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;565.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
297;5625.000000000000000;0.651700000000000;-86.019999999999996;KN8.6;6222.000000000000000; ;-2698.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;565.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
298;5626.000000000000000;0.658300000000000;-86.019999999999996;KN8.7;6223.000000000000000; ;-2691.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;1126.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
299;5627.000000000000000;0.666700000000000;-86.019999999999996;KN8.8;6224.000000000000000; ;-2708.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;728.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
300;5628.000000000000000;0.675000000000000;-86.003299999999996;KN9.1;6225.000000000000000; ;-2661.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;603.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
301;5629.000000000000000;0.690000000000000;-86.000000000000000;KN9.2;6226.000000000000000; ;-2721.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;38.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
302;5630.000000000000000;0.708300000000000;-86.000000000000000;KN9.3;6227.000000000000000; ;-2655.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;343.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
303;5631.000000000000000;0.718300000000000;-86.001700000000000;KN9.4;6228.000000000000000; ;-2663.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;255.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
304;5632.000000000000000;0.735000000000000;-86.003299999999996;KN9.6;6229.000000000000000; ;-2550.000000000000000;0.000000000000000;2.000000000000000;2;0.000000000000000;0.000000000000000;0.750000000000000; ; ;17.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
305;5633.000000000000000;0.763300000000000;-86.011700000000005;KN9.7;6230.000000000000000; ;-2578.000000000000000;0.000000000000000;2.000000000000000;1;0.000000000000000;0.000000000000000;0.750000000000000; ; ;25.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
306;5634.000000000000000;0.738300000000000;-86.028300000000002;KN9.9;6231.000000000000000; ;-2625.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;63.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
307;5635.000000000000000;0.731700000000000;-86.040000000000006;KN9.10;6232.000000000000000; ;-2616.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;247.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
308;5636.000000000000000;0.731700000000000;-86.056700000000006;KN9.11;6233.000000000000000; ;-2616.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;352.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
309;5637.000000000000000;0.733300000000000;-86.061700000000002;KN9.12;6234.000000000000000; ;-2653.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;230.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
310;5638.000000000000000;0.591700000000000;-86.094999999999999;KN11.1;6235.000000000000000; ;-2751.000000000000000;0.000000000000000;9.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;640.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
311;5639.000000000000000;0.725000000000000;-86.038300000000007;KN12.1;6236.000000000000000; ;-2653.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;239.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
312;5640.000000000000000;0.721700000000000;-86.045000000000002;KN12.2;6237.000000000000000; ;-2653.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;243.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
313;5641.000000000000000;0.718300000000000;-86.048299999999998;KN12.3;6238.000000000000000; ;-2663.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;180.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
314;5642.000000000000000;0.718300000000000;-86.056700000000006;KN12.4;6239.000000000000000; ;-2663.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;218.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
315;5643.000000000000000;0.720000000000000;-86.066699999999997;KN12.5;6240.000000000000000; ;-2719.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;142.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
316;5644.000000000000000;0.716700000000000;-86.073300000000003;KN12.6;6241.000000000000000; ;-2700.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;205.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
317;5645.000000000000000;0.718300000000000;-86.083299999999994;KN12.8;6242.000000000000000; ;-2644.000000000000000;0.000000000000000;2.000000000000000;1;0.000000000000000;0.000000000000000;0.750000000000000; ; ;109.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
318;5646.000000000000000;0.730000000000000;-86.083299999999994;KN12.9;6243.000000000000000; ;-2700.000000000000000;0.000000000000000;2.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;151.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
319;5647.000000000000000;0.730000000000000;-86.076700000000002;KN12.10;6244.000000000000000; ;-2681.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;197.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
320;5648.000000000000000;0.740000000000000;-86.073300000000003;KN12.11;6245.000000000000000; ;-2681.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;84.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
321;5649.000000000000000;0.745000000000000;-86.073300000000003;KN12.12;6246.000000000000000; ;-2681.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;38.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
322;5650.000000000000000;0.610000000000000;-86.098299999999995;KN13.1;6247.000000000000000; ;-2739.000000000000000;0.000000000000000;6.000000000000000;4;0.000000000000000;0.000000000000000;0.750000000000000; ; ;515.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
323;5651.000000000000000;0.696700000000000;-86.075000000000003;KN14.1;6248.000000000000000; ;-2762.000000000000000;0.000000000000000;8.000000000000000;4;0.000000000000000;0.000000000000000;0.750000000000000; ; ;75.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
324;5652.000000000000000;0.671700000000000;-86.083299999999994;KN15.1;6249.000000000000000; ;-2736.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;151.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
325;5653.000000000000000;0.670000000000000;-86.083299999999994;KN15.2;6250.000000000000000; ;-2726.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;209.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
326;5654.000000000000000;0.668300000000000;-86.081699999999998;KN15.3;6251.000000000000000; ;-2747.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;327.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
327;5655.000000000000000;0.666700000000000;-86.081699999999998;KN15.4;6252.000000000000000; ;-2668.000000000000000;0.000000000000000;3.000000000000000;3;0.000000000000000;0.000000000000000;0.750000000000000; ; ;636.000000000000000;0.000000000000000;1981;Green_etal1981;Green_etal1981; ; ; ; ; ; ;0;0
